id,type,text1,text2,text3,notes
,,,,,
,,,,,
,,,,,
fpr_nidhoggur,SHIP,The Nidhoggur-class Flight-Deck Cruiser,,,
fpr_gungnir_cs,SHIP,The Gungnir-class Command Cruiser,,,
fpr_gungnir,SHIP,The Gungnir-class Line Cruiser,,,
fpr_fenrir,SHIP,The Fenrir-class Light Cruiser,,,
fpr_fenrir_p,SHIP,"A heavily Modified Fenrir-class Light Cruiser, Now used by Pirates",,,
fpr_harpy,SHIP,The Harpy-class Light Missile Cruiser,,,
fpr_nomad,SHIP,The Nomad-class Tanker,,,
fpr_vargus,SHIP,The Vargus-class Freighter,,,
fpr_vargus_mk2,SHIP,The Vargus Mk.II-class Mobile Suit Carrier,,,
fpr_vargus_mk2_p,SHIP,"A heavily Modified Vargus Mk.II-class Mobile Suit Carrier, Now used by Pirates",,,
fpr_sleipnir,SHIP,The Sleipnir-class Support Destroyer,,,
fpr_sleipnir_p,SHIP,"A heavily Modified Sleipnir-class Support Destroyer, Now used by Pirates",,,
fpr_naga,SHIP,The Naga-class Destroyer,,,
fpr_loki,SHIP,The Loki-class Drone Frigate,,,
fpr_prowler,SHIP,The prowler-class Interdiction Frigate,,,
,,,,,
# KILLIA DRIVE YARDS WINGS,,,,,
,,,,,
fpr_rifter,SHIP,The Type-24 Rifter-class Interceptor,,,
,,,,,
fpr_hel,SHIP,,,,
fpr_huginn,SHIP,,,,
,,,,,
# KILLIA DRIVE YARDS MOBILE SUITS,,,,,
,,,,,
,,,,,
,,,,,
# KILLIA DRIVE YARDS WEAPONS,,,,,
,,,,,
fpr_tigerfish_pod,WEAPON,,,,
,,,,,
,,,,,
# KILLIA DRIVE YARDS MOBILE SUIT WEAPONS,,,,,
,,,,,
fpr_leo_heavyautorifle,WEAPON,,,,
fpr_leo_head,WEAPON,,,,
,,,,,
# KILLIA DRIVE YARDS SHIP SYSTEMS,,,,,
,,,,,
fpr_microphasecloak,SHIP_SYSTEM,"This device was reverse engineered from a similar piece of tech found on a drifting derelict out in deep spa, believed to have belonged to a Domain-era Explorarium Vessel. It allows the unmanned drone to temporarily dive into an alternate dimension known as p-space. The ship can still be detected by its phase coil emissions, but can not be hit by any weapons. Flux can not be dissipated in p-space, resulting in a constant buildup that forces the ship to come back to normal space eventually. Subjective time passes more quickly for the drone while in p-space.

The phase cloak generator is large and has significant power requirements, and so generally replaces shields as a ship's primary means of defense.",Special,Moves the ship into an alternate dimension where time passes more quickly. Ship can not be hit by any weapons; builds up hard flux while active.,
fpr_skimmerdrive,SHIP_SYSTEM,,,,
for_microjumpdrive,SHIP_SYSTEM,,,,
fpr_stasisEmitter,SHIP_SYSTEM,,,,
fpr_CommandUplink,SHIP_SYSTEM,,,,
fpr_SensorBurst,SHIP_SYSTEM,,,,
,,,,,
# KILLIA DRIVE YARDS BUILT-IN WEAPONS,,,,,
,,,,,
fpr_tigerfish_tubes_prowler,WEAPON,,,,
fpr_tigerfish_tubes_left,WEAPON,,,,
fpr_tigerfish_tubes_right,WEAPON,,,,
fpr_cruiser_tomahawk_launcher_left,WEAPON,Build in Torpedo Tubes converted by pirate crews to fit a more unstable and crudely designed missile.,,,
fpr_cruiser_tomahawk_launcher_right,WEAPON,Build in Torpedo Tubes converted by pirate crews to fit a more unstable and crudely designed missile.,,,
fpr_cruiser_trident_launcher_left,WEAPON,Build in Torpedo Tubes designed to match standardized hull designs used by the Freeport Republic.,,,
fpr_cruiser_trident_launcher_right,WEAPON,Build in Torpedo Tubes designed to match standardized hull designs used by the Freeport Republic.,,,
fpr_harpy_lower_trident_launcher_left,WEAPON,Build in Torpedo Tubes designed to for the harpy-class light missile cruiser used by the Freeport Republic.,,,
fpr_harpy_lower_trident_launcher_right,WEAPON,Build in Torpedo Tubes designed to for the harpy-class light missile cruiser used by the Freeport Republic.,,,
fpr_harpy_upper_trident_launcher_left,WEAPON,Build in Torpedo Tubes designed to for the harpy-class light missile cruiser used by the Freeport Republic.,,,
fpr_harpy_upper_trident_launcher_right,WEAPON,Build in Torpedo Tubes designed to for the harpy-class light missile cruiser used by the Freeport Republic.,,,
,,,,,
# FARSTAR MECHATRONICS SHIPS,,,,,
,,,,,
fpr_t96_pd_cannon,WEAPON,,,,
,,,,,
# FARSTAR MECHATRONICS MOBILE SUITS,,,,,
,,,,,
fpr_leo,SHIP,,,,
fpr_leo_fencer,SHIP,,,,
fpr_leo_heavy,SHIP,,,,
,,,,,
,,,,,
,,,,,
# AKOYA SHIPYARDS SHIPS,,,,,
,,,,,
fpr_murasame,SHIP,"The Murasame-class Light Cruiser, the main ship of the line used by Akoya Interstellar Industries",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
