name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
# MOBILE SUIT STUFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA-33 Heavy Auto Rifle,fpr_leo_heavyautorifle,,,,350,,25,,,30,,20,2,20,HIGH_EXPLOSIVE,,,0.05,0.8,3,0.05,0,18,3,10,,900,,,20,"PD, SYSTEM",,,,,,,,,,,,,,,
HM-12 Chaingun,fpr_leo_head,,,,300,,20,,,80,,40,10,40,FRAGMENTATION,,,0,0.05,1,,0,10,1,15,,950,,,10,"PD,PD_ONLY,SYSTEM",,,,,,,,,,,,,,,
Leo Torso,fpr_leo_torso,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Leo Shoulder R,fpr_leo_shoulder_right,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Leo Shoulder L,fpr_leo_shoulder_left,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Leo Short Arm R,fpr_leo_shortarm_right,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Leo Short Arm L,fpr_leo_shortarm_left,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# REGULAR WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigerfish MRM Pod,fpr_tigerfish_pod,1,,1400,1200,,300,,20,10,12,12,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,280,60,12,150,DO_NOT_AIM,"missile13, strike9, fpr_weapon_bp",,,,Finisher,Medium,Medium,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BUILT-IN SHIP WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigerfish MRM Tubes,fpr_tigerfish_tubes_left,1,,1400,1200,,300,,20,10,12,8,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,280,60,12,150,DO_NOT_AIM,"missile13, strike9, fpr_weapon_bp",,Freeport Republic,,Finisher,Medium,Medium,,,,,,,TRUE,
Tigerfish MRM Tubes,fpr_tigerfish_tubes_right,1,,1400,1200,,300,,20,10,12,8,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,280,60,12,150,DO_NOT_AIM,"missile13, strike9, fpr_weapon_bp",,Freeport Republic,,Finisher,Medium,Medium,,,,,,,TRUE,
Tomahawk Missile Launcher,fpr_cruiser_tomahawk_launcher_left,1,,400,1400,,600,75,15,30,4,3,0.05,3,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,,,300,250,10.5,200,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Anti Armor,Very Fast,Good,,,,,,,TRUE,
Tomahawk Missile Launcher,fpr_cruiser_tomahawk_launcher_right,1,,400,1400,,600,75,15,30,4,3,0.05,3,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,,,300,250,10.5,200,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Anti Armor,Very Fast,Good,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_harpy_lower_trident_launcher_left,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_harpy_lower_trident_launcher_right,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_harpy_upper_trident_launcher_left,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_harpy_upper_trident_launcher_right,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_cruiser_trident_launcher_left,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
Trident Torpedo Launcher,fpr_cruiser_trident_launcher_right,2,,1500,1800,,1200,,30,15,4,1,0.03,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,400,150,6.0,420,"GUIDED_POOR, SYSTEM",,,Freeport Republic,,Torpedo,Fast,Excellent,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP DECO'S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenrir (P) Deco Left,fpr_fenrir_p_deco_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Fenrir (P) Deco Right,fpr_fenrir_p_deco_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Fenrir Deco Left,fpr_fenrir_deco_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Fenrir Deco Right,fpr_fenrir_deco_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Sleipnir Deco Left,fpr_sleipnir_deco_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Sleipnir Deco Right,fpr_sleipnir_deco_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
